ID;Generation Number;Generation Size;DD Size;Number of DD;Runtime;Tests per Minute;Average Test Execution Time;Average DD Runtime;Total primary score increase;Total secondary increase
395;345871;2000;388;10;        53s 818ms 696μs 112ns;2703.396226;                        -24672731899943ns;         5s 335ms 720μs  51ns;2254.000000;0.000000
32;46827;2000;462;10;        50s 213ms 326μs 773ns;2954.400000;                        -28376126727582ns;         6s 177ms  88μs 165ns;2253.000000;0.000000
396;3478de;2000;508;10;        56s 408ms 461μs 341ns;2687.142857;                        -33437376574456ns;         6s 732ms 164μs 661ns;2254.000000;0.000000
33;489a9;2000;439;10;        49s 306ms 777μs 292ns;2986.530612;                        -30189072965151ns;         5s 736ms 871μs 969ns;2253.000000;0.000000
397;349b4f;2000;386;10;        57s 363ms 994μs 565ns;2511.578947;                        -28265353382914ns;         4s 871ms 511μs 951ns;2257.000000;0.000000
34;4aab0;2000;515;10;        52s  10ms 449μs 308ns;2901.923077;                        -33126799124917ns;         7s  97ms 401μs 979ns;2253.000000;0.000000
398;34bb94;2000;505;10;        59s 739ms  32μs 945ns;2547.457627;                        -33263549197241ns;         6s 893ms 945μs 173ns;2257.000000;0.000000
35;4cd03;2000;432;10;        48s 637ms 766μs 977ns;3040.000000;                        -30724155940725ns;         5s 365ms 468μs 410ns;2253.000000;0.000000
399;34dddb;2000;488;10;        59s 277ms 661μs 191ns;2530.169492;                        -28256043761246ns;         6s 509ms 868μs 210ns;2257.000000;0.000000
36;4ede7;2000;482;10;        51s 418ms 589μs 199ns;2920.000000;                        -31407911476946ns;         6s 400ms 440μs 748ns;2253.000000;0.000000
400;350004;2000;489;10;        56s 615ms 696μs 247ns;2666.785714;                        -30300325442201ns;         7s 158ms 144μs 418ns;2257.000000;0.000000
37;50fb2;2000;451;10;        49s 266ms 553μs 195ns;3001.224490;                        -30053374926748ns;         5s 617ms 950μs 923ns;2253.000000;0.000000
401;352201;2000;453;10;        54s 589ms 839μs  63ns;2725.555556;                        -31444212158561ns;         6s 116ms 304μs 807ns;2257.000000;0.000000
38;53107;2000;515;10;        52s 419ms 253μs 241ns;2901.923077;                        -31429730684752ns;         7s 113ms 970μs 151ns;2253.000000;0.000000
402;354352;2000;445;10;        57s 498ms 919μs 258ns;2573.684211;                        -29696819269385ns;         6s 230ms 995μs 833ns;2257.000000;0.000000
39;55385;2000;471;10;        53s 745ms 797μs 336ns;2797.358491;                        -32863406052086ns;         6s 132ms 321μs 518ns;2253.000000;0.000000
403;356493;2000;583;10;     1m  1s 973ms 101μs 179ns;2540.655738;                        -40855564991126ns;         7s 909ms 875μs  33ns;2257.000000;0.000000
40;57528;2000;448;10;        51s 955ms 214μs 782ns;2880.000000;                        -29880024989823ns;         5s 836ms 256μs 452ns;2253.000000;0.000000
404;358829;2000;517;10;     1m  2s 355ms 173μs 218ns;2435.806452;                        -34494908317241ns;         6s 996ms 312μs 852ns;2257.000000;0.000000
41;5964b;2000;508;10;        54s 796ms 979μs 720ns;2786.666667;                        -31313124035512ns;         6s 270ms 774μs 701ns;2253.000000;0.000000
405;35aace;2000;437;10;        57s 111ms 159μs 590ns;2565.263158;                        -29811344594914ns;         5s 528ms 205μs 702ns;2257.000000;0.000000
42;5b89d;2000;438;10;        54s 814ms 941μs 776ns;2708.888889;                        -25596049445927ns;         5s 437ms 840μs 194ns;2253.000000;0.000000
406;35cbe5;2000;465;10;        57s 840ms 912μs 618ns;2594.736842;                        -35005459690814ns;         6s 889ms 619μs 953ns;2257.000000;0.000000
43;5d99a;2000;459;10;        54s 105ms 950μs   9ns;2732.222222;                        -23411028766353ns;         5s 589ms 688μs 419ns;2253.000000;0.000000
407;35ed90;2000;474;10;        59s 368ms 665μs 673ns;2515.932203;                        -32130623652296ns;         6s 359ms 598μs 864ns;2257.000000;0.000000
44;5faf4;2000;469;10;        49s 497ms 251μs 570ns;3023.265306;                        -27241371584427ns;         6s 404ms 634μs  31ns;2253.000000;0.000000
408;360f61;2000;514;10;        58s 195ms   1μs 698ns;2600.689655;                        -33206630358306ns;         7s 133ms 319μs 704ns;2257.000000;0.000000
45;61c75;2000;489;10;        49s 523ms  62μs 634ns;3047.755102;                        -22268730296274ns;         6s 709ms 444μs 105ns;2253.000000;0.000000
409;363208;2000;407;10;        57s 112ms 415μs 701ns;2533.684211;                        -25250001192141ns;         5s 309ms 178μs 585ns;2257.000000;0.000000
46;63e56;2000;489;10;        49s 879ms 952μs 621ns;3047.755102;                        -23568377126608ns;         5s 993ms 502μs 113ns;2253.000000;0.000000
410;3652b9;2000;501;10;        57s 644ms 379μs 874ns;2632.631579;                        -32937388203208ns;         7s 327ms 397μs 350ns;2257.000000;0.000000
47;6606d;2000;444;10;        50s 631ms 980μs 406ns;2932.800000;                        -22022769691922ns;         5s 870ms 839μs 917ns;2253.000000;0.000000
411;36752e;2000;453;10;        57s 497ms 848μs 478ns;2582.105263;                        -28491998930350ns;         6s  95ms  90μs 266ns;2257.000000;0.000000
48;681a2;2000;448;10;        48s 758ms 895μs  12ns;3060.000000;                        -23748118448259ns;         5s 979ms 573μs 937ns;2253.000000;0.000000
412;3696b3;2000;473;10;        57s 263ms 749μs  25ns;2603.157895;                        -25509104155560ns;         6s 439ms 136μs 926ns;2257.000000;0.000000
49;6a2ff;2000;483;10;        48s 726ms  11μs 794ns;3103.750000;                        -24499777525183ns;         6s 486ms 396μs 256ns;2253.000000;0.000000
413;36b8b6;2000;468;10;        57s  35ms 871μs 354ns;2597.894737;                        -32014606090538ns;         6s 876ms 330μs 757ns;2257.000000;0.000000
50;6c51a;2000;460;10;        50s 152ms 816μs  16ns;2952.000000;                        -21010705455184ns;         6s 103ms  79μs 886ns;2253.000000;0.000000
414;36da51;2000;437;10;        56s 905ms 490μs 413ns;2611.071429;                        -27528658033048ns;         5s 842ms   1μs 240ns;2257.000000;0.000000
51;6e696;2000;446;10;        50s 151ms 946μs 116ns;2935.200000;                        -23334553859010ns;         6s 174ms 221μs 461ns;2253.000000;0.000000
415;36fb88;2000;462;10;        56s 803ms 956μs 463ns;2637.857143;                        -30256765124073ns;         6s 683ms  22μs 119ns;2257.000000;0.000000
52;707e3;2000;446;10;        51s 516ms 988μs 298ns;2877.647059;                        -26859621420824ns;         6s  74ms 616μs  33ns;2253.000000;0.000000
