ID;Parent ID;Generation ID;Derived Inputs;Derived Fails;Flags;Generation Time;Generation Length;Trimmed Length;Execution Time;Primary Score;Relative Primary Score;Secondary Score;Relative Secondary Score;Exit Code;Exit Reason;Result;Retries;Test Number
d7678;d68c9;d6ce3;0;0;0000000000000030;   576m 16s 742ms 764μs 658ns;0;11575;        14s 963ms 672μs 714ns;4284.000000;2.701914;1790.000000;6.466480;0;1;Failing;0;294046
dfe76;df9ec;dfbae;0;0;0000000000000030;   617m 36s 762ms 780μs 843ns;0;11572;        14s 979ms 149μs 425ns;4284.000000;2.701214;1790.000000;6.464804;0;1;Failing;0;305649
dcbc7;dbbe3;dc4d6;0;0;0000000000000030;   601m 57s 330ms 281μs 886ns;0;11571;        12s 351ms 416μs 154ns;4284.000000;2.700980;1790.000000;6.464246;0;1;Failing;0;301326
c496e;c0672;c3a41;0;0;0000000000000030;   492m 40s  67ms 232μs 317ns;0;11567;        12s 696ms 876μs 168ns;4284.000000;2.700047;1790.000000;6.462011;0;1;Failing;0;268362
d95b1;d6403;d6ce3;0;0;0000000000000030;   583m 42s 560ms 203μs 790ns;0;11567;        13s 652ms  24μs 429ns;4284.000000;2.700047;1790.000000;6.462011;0;1;Failing;0;296707
e23ae;df574;dfbae;0;0;0000000000000030;   625m 20s 273ms 888μs 475ns;0;11567;        13s 195ms 817μs  33ns;4284.000000;2.700047;1790.000000;6.462011;0;1;Failing;0;308819
ca585;c878a;c8c34;0;0;0000000000000030;   515m 28s 406ms 472μs 460ns;0;11566;        12s 557ms  23μs 346ns;4284.000000;2.699813;1790.000000;6.461453;0;1;Failing;0;276218
cda6b;cb531;cc15f;0;0;0000000000000030;   533m 49s 176ms  80μs 405ns;0;11566;        13s 398ms 750μs 215ns;4284.000000;2.699813;1790.000000;6.461453;0;1;Failing;0;280730
d34c8;d168c;d2150;0;0;0000000000000030;   557m 56s 134ms 808μs 676ns;0;11565;        12s 408ms 891μs 760ns;4284.000000;2.699580;1790.000000;6.460894;0;1;Failing;0;288439
ebe88;e7ef8;e86c2;0;0;0000000000000030;   669m 41s 591ms  26μs  10ns;0;11565;        11s 663ms 228μs 459ns;4284.000000;2.699580;1790.000000;6.460894;0;1;Failing;0;322029
ee5bb;ed30e;ede64;0;0;0000000000000030;   684m 53s 730ms 870μs 241ns;0;11565;        15s 298ms 733μs 180ns;4284.000000;2.699580;1790.000000;6.460894;0;1;Failing;0;325375
f54b4;f2280;f2982;0;0;0000000000000030;   714m 24s 493ms 788μs 502ns;0;11565;        11s 833ms 739μs 911ns;4284.000000;2.699580;1790.000000;6.460894;0;1;Failing;0;334840
ce330;cb652;cc15f;0;0;0000000000000030;   536m  5s  88ms 982μs 125ns;0;11564;        15s 323ms 835μs 889ns;4284.000000;2.699346;1790.000000;6.460335;0;1;Failing;0;281479
e150e;df9ec;dfbae;0;0;0000000000000030;   621m 35s 175ms 507μs 512ns;0;11564;        15s 546ms 154μs 948ns;4284.000000;2.699346;1790.000000;6.460335;0;1;Failing;0;307571
d4952;d1e0c;d2150;0;0;0000000000000030;   563m  4s 564ms 556μs  54ns;0;11560;        12s 531ms 609μs  50ns;4284.000000;2.698413;1790.000000;6.458101;0;1;Failing;0;290192
ee94b;ed30e;ede64;0;0;0000000000000030;   685m 18s  15ms 788μs 175ns;0;11559;        15s 387ms 424μs 157ns;4284.000000;2.698179;1790.000000;6.457542;0;1;Failing;0;325676
ccfa5;cb652;cc15f;0;0;0000000000000030;   531m     669ms 959μs 466ns;0;11557;        13s 386ms 222μs 110ns;4284.000000;2.697712;1790.000000;6.456425;0;1;Failing;0;279811
f3eda;f24bd;f2982;0;0;0000000000000030;   708m 23s 641ms 976μs 616ns;0;11557;        14s 126ms 132μs 697ns;4284.000000;2.697712;1790.000000;6.456425;0;1;Failing;0;332975
d6d51;d68c9;d6ce3;0;0;0000000000000030;   576m  6s  31ms 197μs 536ns;0;11556;        15s 203ms 836μs 883ns;4284.000000;2.697479;1790.000000;6.455866;0;1;Failing;0;293267
e1fd5;df574;dfbae;0;0;0000000000000030;   624m 22s 220ms 919μs 402ns;0;11556;        13s 191ms 709μs 108ns;4284.000000;2.697479;1790.000000;6.455866;0;1;Failing;0;308491
f5503;f2280;f2982;0;0;0000000000000030;   714m 29s 165ms 395μs 315ns;0;11554;        14s 550ms 653μs 655ns;4284.000000;2.697012;1790.000000;6.454749;0;1;Failing;0;334866
d9d83;d6403;d6ce3;0;0;0000000000000030;   585m 43s  99ms  33μs 423ns;0;11553;        15s 461ms 770μs 458ns;4284.000000;2.696779;1790.000000;6.454190;0;1;Failing;0;297374
e320c;df32b;dfbae;0;0;0000000000000030;   629m  4s 480ms   4μs 927ns;0;11553;        12s 620ms 827μs 557ns;4284.000000;2.696779;1790.000000;6.454190;0;1;Failing;0;310045
e28e3;df574;dfbae;0;0;0000000000000030;   626m 41s 389ms 753μs 524ns;0;11552;        12s 805ms 505μs 591ns;4284.000000;2.696545;1790.000000;6.453631;0;1;Failing;0;309264
eb86c;e7cc6;e86c2;0;0;0000000000000030;   668m  9s 703ms 817μs 935ns;0;11552;        15s 560ms 451μs 113ns;4284.000000;2.696545;1790.000000;6.453631;0;1;Failing;0;321508
ee032;ed1e1;ede64;0;0;0000000000000030;   684m 50s 294ms 996μs  82ns;0;11551;        14s 892ms 710μs 852ns;4284.000000;2.696312;1790.000000;6.453073;0;1;Failing;0;324906
e8f02;e7cc6;e86c2;0;0;0000000000000030;   658m 30s 798ms 829μs 681ns;0;11548;        15s 258ms 237μs 278ns;4284.000000;2.695612;1790.000000;6.451397;0;1;Failing;0;317975
f4f42;f24bd;f2982;0;0;0000000000000030;   712m 55s  13ms 296μs  28ns;0;11548;        12s 396ms 633μs 911ns;4284.000000;2.695612;1790.000000;6.451397;0;1;Failing;0;334375
